date,isin_corporate_name_cleaned,company_parent_country,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-05-24,,US,US,,,,,,Investor Environmental Health Network IEHN,,,,
2010-05-20,,US,US,,,,,,International Rivers,Conservation International,Bank Information Center,Environmental Defense Fund EDF,National Wildlife Federation NWF
2010-05-19,,Sweden,Canada,Norway,,,,,Greenpeace Norway,WWF Norway,,,
2010-05-14,Bank of America ,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-14,,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-14,JPMorgan Chase ,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-14,Morgan Stanley ,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-14,Wells Fargo ,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-14,,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-14,,US,US,,,,,,Sierra Club U.S.A.,Rainforest Action Network RAN,,,
2010-05-13,,US,Chile,,,,,,Halifax Initiative ,,,,
2010-05-12,AXA ,France,New Zealand,,,,,,Consumer NZ,,,,
2010-05-12,ING Groep ,Netherlands,New Zealand,,,,,,Consumer NZ,,,,
2010-05-12,,Luxembourg,Ukraine,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2010-05-12,,UK,Ukraine,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2010-05-07,,US,Indonesia,,,,,,Institute for Essential Services Reform IESR,,,,
2010-05-07,,France,Spain,,,,,,Greenpeace Spain,,,,
2010-04-29,HSBC   ,UK,UK,,,,,,Corporate Responsibility Coalition / CORE,,,,
2010-04-29,,UK,UK,,,,,,Corporate Responsibility Coalition / CORE,,,,
2010-04-29,,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-04-29,Lloyds Banking  ,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-04-29,HSBC   ,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-04-29,Lloyds Banking  ,UK,UK,,,,,,Which? (UK Consumers Association),,,,
