"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US01075","ZCTA5 01075","18168","15050","476","37","939","3","509","1154",
"860Z200US01077","ZCTA5 01077","9237","8531","51","17","87","4","80","467",
"860Z200US01079","ZCTA5 01079","701","625","9","3","4","0","14","46",
"860Z200US01080","ZCTA5 01080","2400","2097","81","11","16","2","69","124",
"860Z200US01081","ZCTA5 01081","1684","1557","6","9","2","0","27","83",
"860Z200US01082","ZCTA5 01082","10565","9226","149","44","74","10","227","835",
"860Z200US01083","ZCTA5 01083","2549","2310","25","2","18","0","50","144",
"860Z200US01084","ZCTA5 01084","185","172","0","1","0","0","2","10",
"860Z200US01085","ZCTA5 01085","41529","35169","828","111","953","13","1602","2853",
"860Z200US01088","ZCTA5 01088","598","534","4","1","8","0","11","40",
"860Z200US01089","ZCTA5 01089","28835","21568","1193","71","1845","12","1680","2466",
"860Z200US01092","ZCTA5 01092","1343","1240","6","2","2","0","19","74",
"860Z200US01093","ZCTA5 01093","290","277","2","0","2","0","0","9",
"860Z200US01094","ZCTA5 01094","60","57","1","0","0","0","0","2",
"860Z200US01095","ZCTA5 01095","14694","12839","418","11","347","2","221","856",
"860Z200US01096","ZCTA5 01096","2509","2331","8","3","9","0","27","131",
"860Z200US01097","ZCTA5 01097","130","113","3","0","0","0","4","10",
"860Z200US01098","ZCTA5 01098","1147","1072","0","0","6","0","8","61",
"860Z200US01103","ZCTA5 01103","2545","828","480","27","51","1","729","429",
"860Z200US01104","ZCTA5 01104","23598","8181","3233","314","294","17","7462","4097",
"860Z200US01105","ZCTA5 01105","12051","3101","2585","124","118","13","4289","1821",
"860Z200US01106","ZCTA5 01106","16165","13566","268","17","1261","6","222","825",
"860Z200US01107","ZCTA5 01107","11252","2716","1143","238","95","11","4676","2373",
"860Z200US01108","ZCTA5 01108","27671","9357","5527","263","2007","22","6742","3753",
