ticker,date,n_tweets,sent_index
V,2018-08-04,13,0.5
V,2018-08-05,12,0.1
V,2018-08-06,40,0.4
V,2018-08-07,48,0.3
V,2018-08-08,36,0.2
V,2018-08-09,56,0.1
V,2018-08-10,39,0.1
V,2018-08-11,9,0.3333333333333333
V,2018-08-12,4,0.5
V,2018-08-13,29,0.0
V,2018-08-14,60,0.0
V,2018-08-15,32,0.0
V,2018-08-16,62,0.0
V,2018-08-17,31,0.0
V,2018-08-18,8,0.25
V,2018-08-19,7,0.42857142857142855
V,2018-08-20,36,0.2
V,2018-08-21,69,0.1
V,2018-08-22,34,0.4
V,2018-08-23,38,0.2
V,2018-08-24,116,0.5
V,2018-08-25,13,0.5
V,2018-08-26,20,0.2
V,2018-08-27,45,0.4
V,2018-08-28,35,0.3
V,2018-08-29,52,0.5
V,2018-08-30,44,0.5
V,2018-08-31,3,0.3333333333333333
V,2018-09-05,83,0.2
V,2018-09-07,49,0.2
V,2018-09-08,7,0.7142857142857143
V,2018-09-09,5,0.2
V,2018-09-10,24,-0.1
V,2018-09-13,17,0.2
V,2018-09-14,34,0.2
V,2018-09-15,9,0.5555555555555556
V,2018-09-16,10,0.1
V,2018-09-17,12,0.3
V,2018-09-21,6,0.16666666666666666
V,2018-09-22,23,0.1
V,2018-09-23,11,0.1
V,2018-09-24,45,0.0
V,2018-09-25,2,0.5
V,2018-09-29,10,0.0
V,2018-09-30,2,0.5
V,2018-10-01,47,0.5
V,2018-10-02,24,0.3
V,2018-10-05,77,0.4
V,2018-10-06,7,0.5714285714285714
V,2018-10-11,17,0.1
V,2018-10-12,94,0.0
V,2018-10-13,11,-0.1
V,2018-10-14,9,0.2222222222222222
V,2018-10-15,75,0.1
V,2018-10-16,47,0.4
V,2018-10-18,37,0.0
V,2018-10-19,37,0.3
V,2018-10-24,74,0.2
V,2018-10-26,11,0.2
V,2018-10-27,15,0.1
V,2018-10-28,4,0.25
V,2018-10-29,52,0.2
V,2018-11-01,39,0.0
V,2018-11-02,30,0.0
V,2018-11-05,3,0.6666666666666666
V,2018-11-06,20,0.1
V,2018-11-07,42,0.3
V,2018-11-08,16,0.1
V,2018-11-12,32,-0.1
V,2018-11-13,35,0.1
V,2018-11-14,15,-0.3
V,2018-11-15,22,0.0
V,2018-11-16,29,0.1
V,2018-11-17,5,0.2
V,2018-11-18,8,0.25
V,2018-11-19,50,0.2
V,2018-11-20,64,0.0
V,2018-11-21,13,0.1
V,2018-11-26,9,-0.2222222222222222
V,2018-11-27,26,0.1
V,2018-11-28,19,0.3
V,2018-11-29,19,0.1
V,2018-11-30,29,0.1
V,2018-12-01,14,0.0
V,2018-12-02,4,0.25
V,2018-12-03,12,0.3
V,2018-12-05,3,0.3333333333333333
V,2018-12-06,48,0.1
V,2018-12-07,17,0.2
V,2018-12-08,6,0.16666666666666666
V,2018-12-12,8,-0.125
V,2018-12-13,28,0.0
V,2018-12-14,29,-0.2
V,2018-12-15,12,0.4
V,2018-12-16,7,0.2857142857142857
V,2018-12-17,16,-0.5
V,2018-12-18,33,0.0
V,2018-12-19,37,0.1
V,2018-12-21,16,-0.2
V,2018-12-22,11,-0.1
V,2018-12-23,12,0.2
V,2018-12-24,23,0.0
