date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2014-02-25,Societe Generale ,France,Societe Generale,-2,Australia,France,,,,,Amis de la Terre France / FoE France,Attac France,,,
2014-02-21,Banco Bilbao Vizcaya Argentaria ,Spain,BBVA Group / Banco Bilbao Vizcaya Argentaria,-2,Spain,,,,,,SETEM,,,,
2014-02-21,,Spain,Grupo Santander,-2,Spain,,,,,,SETEM,,,,
2014-02-21,,Spain,La Caixa,-2,Spain,,,,,,SETEM,,,,
2014-02-20,,US,World Bank,-2,Guatemala,,,,,,Asamblea de Pueblos de Huehuetenango (ADH),,,,
2014-02-20,,US,Inter-American Development Bank,-2,Guatemala,,,,,,Asamblea de Pueblos de Huehuetenango (ADH),,,,
2014-02-20,Jyske Bank ,Denmark,Jyske Bank,-2,Norway,,,,,,Tax Justice Network - Norway,,,,
2014-02-17,Danske Bank ,Denmark,Danske Bank,2,Palestine,Netherlands,,,,,Pax (formerly IKV Pax Christi),ICCO,Cordaid,VBDO Dutch Assn of Investors for Sustainable Devel,
2014-02-17,Dexia ,Belgium,Dexia Bank,-2,Palestine,Netherlands,,,,,Pax (formerly IKV Pax Christi),ICCO,Cordaid,VBDO Dutch Assn of Investors for Sustainable Devel,
2014-02-17,,Netherlands,PGGM,2,Palestine,Netherlands,,,,,Pax (formerly IKV Pax Christi),ICCO,Cordaid,VBDO Dutch Assn of Investors for Sustainable Devel,
2014-02-13,,US,Arjuna Capital,2,US,,,,,,As You Sow,Ceres/INCR,,,
2014-02-13,,US,First Affirmative Financial Network,2,US,,,,,,As You Sow,Ceres/INCR,,,
2014-02-12,Bank of America ,US,Bank of America,-1,US,,,,,,Green America,,,,
2014-02-12,,US,Citigroup,-2,US,,,,,,Green America,,,,
2014-02-12,JPMorgan Chase ,US,JP Morgan Chase,-2,US,,,,,,Green America,,,,
2014-02-12,Wells Fargo ,US,Wells Fargo & Wachovia,-1,US,,,,,,Green America,,,,
2014-02-12,American Express ,US,American Express Company,1,US,,,,,,Green America,,,,
2014-02-12,,US,U.S. Bank,-1,US,,,,,,Green America,,,,
2014-02-12,Capital One Financial ,US,Capital One,-1,US,,,,,,Green America,,,,
2014-02-12,Discover Financial Services ,US,Discover Financial Services,1,US,,,,,,Green America,,,,
2014-02-12,,US,One Pacific Coast Bank,2,US,,,,,,Green America,,,,
2014-02-12,,US,Hope Credit Union,2,US,,,,,,Green America,,,,
2014-02-12,,US,Albina,2,US,,,,,,Green America,,,,
2014-02-12,,US,Permaculture,2,US,,,,,,Green America,,,,
2014-02-12,,US,Southern Bancorp,2,US,,,,,,Green America,,,,
2014-02-12,JPMorgan Chase ,US,JP Morgan Chase,-1,US,,,,,,Better Markets,,,,
2014-02-12,,US,World Bank,-1,Ukraine,,,,,,National Environmental Centre of Ukraine (NECU),,,,
2014-02-11,,US,World Bank,-2,Cambodia,Laos,Vietnam,,,,Global Witness,,,,
2014-02-07,,US,World Bank,-1,US,EU-Brussels,,,,,Heinrich Boell Stiftung (U.S.),,,,
2014-02-07,,US,International Monetary Fund / IMF,-1,US,EU-Brussels,,,,,Heinrich Boell Stiftung (U.S.),,,,
2014-02-06,JPMorgan Chase ,US,JP Morgan Chase,-1,Zambia,,,,,,Foil Vedanta,,,,
2014-02-06,BlackRock ,US,BlackRock,-1,Zambia,,,,,,Foil Vedanta,,,,
2014-02-06,Prudential  ,UK,Prudential,-1,Zambia,,,,,,Foil Vedanta,,,,
2014-02-06,Standard Life  ,UK,Standard Life,-1,Zambia,,,,,,Foil Vedanta,,,,
2014-02-06,,Sweden,Nordea,-2,Indonesia,Norway,,,,,Framtiden i vare hender / FiVH ,,,,
2014-02-05,,US,Green Century Funds / Capital Management,2,US,,,,,,As You Sow,Investor Environmental Health Network IEHN,,,
